timestamp,blocksize
1438214400,644
1438300800,582
1438387200,575
1438473600,581
1438560000,587
1438646400,587
1438732800,579
1438819200,584
1438905600,633
1438992000,668
1439078400,618
1439164800,631
1439251200,692
1439337600,653
1439424000,666
1439510400,660
1439596800,638
1439683200,641
1439769600,635
1439856000,648
1439942400,653
1440028800,650
1440115200,668
1440201600,648
1440288000,681
1440374400,673
1440460800,680
1440547200,669
1440633600,708
1440720000,691
1440806400,682
1440892800,689
1440979200,731
1441065600,741
1441152000,766
1441238400,755
1441324800,762
1441411200,753
1441497600,733
1441584000,753
1441670400,759
1441756800,765
1441843200,730
1441929600,736
1442016000,761
1442102400,764
1442188800,771
1442275200,755
1442361600,739
1442448000,753
1442534400,785
1442620800,735
1442707200,766
1442793600,779
1442880000,807
1442966400,784
1443052800,782
1443139200,767
1443225600,765
1443312000,725
1443398400,755
1443484800,762
1443571200,742
1443657600,741
1443744000,773
1443830400,769
1443916800,776
1444003200,771
1444089600,781
1444176000,808
1444262400,789
1444348800,779
1444435200,778
1444521600,748
1444608000,787
1444694400,818
1444780800,791
1444867200,824
1444953600,827
1445040000,788
1445126400,812
1445212800,802
1445299200,770
1445385600,774
1445472000,782
1445558400,818
1445644800,771
1445731200,751
1445817600,765
1445904000,815
1445990400,808
1446076800,814
1446163200,781
1446249600,812
1446336000,783
1446422400,779
1446508800,844
1446595200,762
1446681600,813
1446768000,812
1446854400,1005
1446940800,1015
1447027200,786
1447113600,834
1447200000,1044
1447286400,874
1447372800,808
1447459200,938
1447545600,797
1447632000,782
1447718400,762
1447804800,774
1447891200,882
1447977600,814
1448064000,832
1448150400,816
1448236800,863
1448323200,828
1448409600,807
1448496000,784
1448582400,790
1448668800,774
1448755200,776
1448841600,864
1448928000,847
1449014400,819
1449100800,778
1449187200,804
1449273600,835
1449360000,877
1449446400,775
1449532800,771
1449619200,779
1449705600,820
1449792000,884
1449878400,916
1449964800,845
1450051200,1752
1450137600,1834
1450224000,1216
1450310400,1053
1450396800,1057
1450483200,1009
1450569600,1103
1450656000,1172
1450742400,2045
1450828800,1544
1450915200,1292
1451001600,1042
1451088000,1074
1451174400,1575
1451260800,1239
1451347200,1200
1451433600,1564
1451520000,1057
1451606400,885
1451692800,954
1451779200,955
1451865600,981
1451952000,1396
1452038400,1553
1452124800,1550
1452211200,1080
1452297600,1209
1452384000,1044
1452470400,1058
1452556800,1094
1452643200,1423
1452729600,1062
1452816000,1006
1452902400,967
1452988800,887
1453075200,1057
1453161600,1107
1453248000,959
1453334400,944
1453420800,1027
1453507200,906
1453593600,993
1453680000,1335
1453766400,1228
1453852800,1566
1453939200,1424
1454025600,1308
1454112000,1179
1454198400,1135
1454284800,1081
1454371200,1077
1454457600,1060
1454544000,1087
1454630400,1117
1454716800,1678
1454803200,1026
1454889600,1034
1454976000,1032
1455062400,1106
1455148800,1280
1455235200,1171
1455321600,1222
1455408000,1140
1455494400,1127
1455580800,1128
1455667200,1265
1455753600,1109
1455840000,1157
1455926400,1046
1456012800,1051
1456099200,1090
1456185600,1117
1456272000,1109
1456358400,1114
1456444800,1289
1456531200,1102
1456617600,1091
1456704000,1175
1456790400,1157
1456876800,1199
1456963200,1248
1457049600,1249
1457136000,1314
1457222400,1366
1457308800,1218
1457395200,1242
1457481600,1279
1457568000,1222
1457654400,1211
1457740800,1385
1457827200,1392
1457913600,1501
1458000000,1318
1458086400,1316
1458172800,1421
1458259200,1403
1458345600,1494
1458432000,1446
1458518400,1498
1458604800,1514
1458691200,1529
1458777600,1862
1458864000,1621
1458950400,1538
1459036800,1261
1459123200,1568
1459209600,1389
1459296000,1572
1459382400,1405
1459468800,1493
1459555200,1235
1459641600,1245
1459728000,1502
1459814400,1528
1459900800,1337
1459987200,1404
1460073600,1541
1460160000,1318
1460246400,1281
1460332800,1262
1460419200,1451
1460505600,1477
1460592000,1406
1460678400,1412
1460764800,1215
1460851200,1917
1460937600,1351
1461024000,1317
1461110400,1359
1461196800,1504
1461283200,1291
1461369600,1270
1461456000,1433
1461542400,1399
1461628800,1344
1461715200,1314
1461801600,1408
1461888000,1423
1461974400,1588
1462060800,1681
1462147200,1480
1462233600,1446
1462320000,1498
1462406400,1486
1462492800,1625
1462579200,1375
1462665600,1530
1462752000,1460
1462838400,1481
1462924800,1559
1463011200,1679
1463097600,1674
1463184000,1683
1463270400,1540
1463356800,1491
1463443200,1515
1463529600,1689
1463616000,1576
1463702400,1677
1463788800,1673
1463875200,1494
1463961600,1568
1464048000,1528
1464134400,1670
1464220800,1733
1464307200,1727
1464393600,2436
1464480000,1675
1464566400,1543
1464652800,1594
1464739200,1562
1464825600,1453
1464912000,1429
1464998400,1409
1465084800,1396
1465171200,1426
1465257600,1693
1465344000,1437
1465430400,1477
1465516800,1437
1465603200,1382
1465689600,1463
1465776000,1599
1465862400,1713
1465948800,1523
1466035200,1604
1466121600,2138
1466208000,2044
1466294400,1624
1466380800,1709
1466467200,1629
1466553600,1614
1466640000,1513
1466726400,1638
1466812800,1415
1466899200,1453
1466985600,1410
1467072000,1482
1467158400,1792
1467244800,2367
1467331200,1380
1467417600,1382
1467504000,1404
1467590400,1415
1467676800,1470
1467763200,1409
1467849600,1414
1467936000,1581
1468022400,1417
1468108800,1407
1468195200,1421
1468281600,1567
1468368000,1357
1468454400,1536
1468540800,1457
1468627200,1349
1468713600,1264
1468800000,1397
1468886400,1502
1468972800,1718
1469059200,1522
1469145600,1641
1469232000,1496
1469318400,1797
1469404800,1737
1469491200,1946
1469577600,1706
1469664000,1610
1469750400,1598
1469836800,1460
1469923200,1585
1470009600,1561
1470096000,1687
1470182400,1665
1470268800,1617
1470355200,1527
1470441600,1465
1470528000,1473
1470614400,1504
1470700800,1592
1470787200,1607
1470873600,1621
1470960000,1559
1471046400,1431
1471132800,1406
1471219200,1467
1471305600,1621
1471392000,1532
1471478400,1663
1471564800,1491
1471651200,1453
1471737600,1480
1471824000,1526
1471910400,2023
1471996800,1590
1472083200,1663
1472169600,1610
1472256000,1586
1472342400,1451
1472428800,1572
1472515200,1616
1472601600,1538
1472688000,1583
1472774400,1850
1472860800,1513
1472947200,1719
1473033600,1512
1473120000,1722
1473206400,1692
1473292800,1900
1473379200,1853
1473465600,1508
1473552000,1460
1473638400,1585
1473724800,1497
1473811200,1758
1473897600,1743
1473984000,2020
1474070400,1588
1474156800,1433
1474243200,1341
1474329600,1689
1474416000,1598
1474502400,1876
1474588800,1280
1474675200,1526
1474761600,1387
1474848000,1545
1474934400,1661
1475020800,1561
1475107200,1442
1475193600,1437
1475280000,1810
1475366400,1687
1475452800,1719
1475539200,2192
1475625600,1802
1475712000,1938
1475798400,4119
1475884800,5429
1475971200,5683
1476057600,12725
1476144000,2762
1476230400,1248
1476316800,1306
1476403200,1400
1476489600,1236
1476576000,1297
1476662400,1377
1476748800,1747
1476835200,1638
1476921600,1466
1477008000,1724
1477094400,1357
1477180800,1292
1477267200,1791
1477353600,1675
1477440000,1550
1477526400,1518
1477612800,1472
1477699200,1461
1477785600,1422
1477872000,1536
1477958400,1689
1478044800,1497
1478131200,1471
1478217600,1262
1478304000,1358
1478390400,1289
1478476800,1399
1478563200,1476
1478649600,1484
1478736000,1492
1478822400,1462
1478908800,1426
1478995200,1468
1479081600,1576
1479168000,1577
1479254400,1481
1479340800,1476
1479427200,1514
1479513600,1375
1479600000,1473
1479686400,1537
1479772800,1708
1479859200,1950
1479945600,1424
1480032000,1767
1480118400,1501
1480204800,1703
1480291200,1731
1480377600,1692
1480464000,2209
1480550400,1407
1480636800,1462
1480723200,1404
1480809600,1403
1480896000,1491
1480982400,1615
1481068800,1523
1481155200,1416
1481241600,1502
1481328000,1428
1481414400,1681
1481500800,1477
1481587200,1538
1481673600,1835
1481760000,1582
1481846400,1506
1481932800,1418
1482019200,1345
1482105600,1616
1482192000,1536
1482278400,1769
1482364800,1762
1482451200,1522
1482537600,1361
1482624000,1317
1482710400,1294
1482796800,1558
1482883200,1531
1482969600,1678
1483056000,1623
1483142400,1544
1483228800,1390
1483315200,1458
1483401600,1627
1483488000,1717
1483574400,1676
1483660800,1593
1483747200,1570
1483833600,1557
1483920000,1595
1484006400,1686
1484092800,1591
1484179200,1697
1484265600,1729
1484352000,1499
1484438400,1498
1484524800,1575
1484611200,1642
1484697600,1583
1484784000,1552
1484870400,1609
1484956800,1504
1485043200,1616
1485129600,1612
1485216000,1754
1485302400,1644
1485388800,1673
1485475200,1658
1485561600,1628
1485648000,1523
1485734400,1579
1485820800,1539
1485907200,1607
1485993600,1578
1486080000,1568
1486166400,1560
1486252800,1614
1486339200,1606
1486425600,1827
1486512000,1764
1486598400,1630
1486684800,1735
1486771200,1594
1486857600,1571
1486944000,1823
1487030400,1914
1487116800,1818
1487203200,1661
1487289600,1661
1487376000,1773
1487462400,1635
1487548800,1696
1487635200,1989
1487721600,1790
1487808000,1667
1487894400,1778
1487980800,1761
1488067200,1713
1488153600,1819
1488240000,1935
1488326400,2235
1488412800,2209
1488499200,2084
1488585600,1860
1488672000,1821
1488758400,1808
1488844800,1963
1488931200,1800
1489017600,2403
1489104000,2190
1489190400,2014
1489276800,2043
1489363200,2452
1489449600,2433
1489536000,2456
1489622400,3071
1489708800,2880
1489795200,2513
1489881600,2396
1489968000,2316
1490054400,2507
1490140800,2368
1490227200,2513
1490313600,2557
1490400000,2428
1490486400,2375
1490572800,2896
1490659200,2543
1490745600,2744
1490832000,2853
1490918400,2949
1491004800,2403
1491091200,2669
1491177600,2788
1491264000,2518
1491350400,2558
1491436800,2799
1491523200,2776
1491609600,2249
1491696000,2358
1491782400,2460
1491868800,2377
1491955200,2697
1492041600,2589
1492128000,2451
1492214400,2348
1492300800,2220
1492387200,2309
1492473600,2603
1492560000,2664
1492646400,2581
1492732800,2691
1492819200,2429
1492905600,2393
1492992000,2553
1493078400,2803
1493164800,2724
1493251200,3095
1493337600,3178
1493424000,2793
1493510400,3064
1493596800,3544
1493683200,3461
1493769600,3028
1493856000,3351
