timestamp,hashrate
1438214400,23.7569
1438300800,48.1584
1438387200,55.2709
1438473600,64.1779
1438560000,69.8559
1438646400,76.6115
1438732800,81.9449
1438819200,82.9366
1438905600,89.6063
1438992000,97.6083
1439078400,102.5407
1439164800,113.1109
1439251200,126.6631
1439337600,132.7661
1439424000,144.8995
1439510400,183.5527
1439596800,213.9622
1439683200,220.8548
1439769600,245.4865
1439856000,253.7123
1439942400,269.2527
1440028800,252.3917
1440115200,263.4014
1440201600,298.2545
1440288000,303.0820
1440374400,314.6624
1440460800,309.2154
1440547200,327.8673
1440633600,327.6196
1440720000,340.1254
1440806400,339.3919
1440892800,332.4474
1440979200,351.2291
1441065600,354.1181
1441152000,349.6263
1441238400,331.5756
1441324800,340.3879
1441411200,361.5994
1441497600,371.3126
1441584000,360.9598
1441670400,352.7229
1441756800,368.0392
1441843200,371.1206
1441929600,397.2576
1442016000,405.6008
1442102400,412.3321
1442188800,380.4038
1442275200,366.6357
1442361600,362.0796
1442448000,342.0493
1442534400,326.1315
1442620800,332.9998
1442707200,390.7766
1442793600,393.8171
1442880000,395.4227
1442966400,422.5629
1443052800,417.5910
1443139200,421.4033
1443225600,423.4245
1443312000,412.8378
1443398400,379.0354
1443484800,330.5963
1443571200,315.1845
1443657600,347.9262
1443744000,364.9391
1443830400,378.3587
1443916800,360.3209
1444003200,373.8427
1444089600,361.6866
1444176000,354.5899
1444262400,364.4138
1444348800,355.5959
1444435200,351.0840
1444521600,368.0058
1444608000,378.7687
1444694400,384.9138
1444780800,379.3914
1444867200,361.6693
1444953600,336.9025
1445040000,360.0608
1445126400,349.8902
1445212800,347.3344
1445299200,343.9115
1445385600,346.8015
1445472000,326.6268
1445558400,365.8809
1445644800,387.2388
1445731200,399.0500
1445817600,379.5194
1445904000,402.6895
1445990400,399.8592
1446076800,428.9193
1446163200,461.8848
1446249600,474.3059
1446336000,475.3902
1446422400,458.2611
1446508800,441.5678
1446595200,465.7518
1446681600,455.3749
1446768000,464.8882
1446854400,443.1504
1446940800,459.0328
1447027200,461.3202
1447113600,463.7579
1447200000,454.7690
1447286400,465.8401
1447372800,479.0797
1447459200,481.9432
1447545600,505.8890
1447632000,499.1223
1447718400,500.6890
1447804800,515.9244
1447891200,527.3325
1447977600,444.6029
1448064000,452.9449
1448150400,453.2137
1448236800,460.4471
1448323200,451.9348
1448409600,437.6937
1448496000,440.4046
1448582400,458.0060
1448668800,460.0296
1448755200,467.2217
1448841600,470.9538
1448928000,470.8828
1449014400,446.5842
1449100800,465.4228
1449187200,464.7690
1449273600,484.0832
1449360000,456.1653
1449446400,451.5806
1449532800,440.4392
1449619200,451.5592
1449705600,472.5491
1449792000,482.2872
1449878400,485.3189
1449964800,527.4325
1450051200,507.6232
1450137600,525.7241
1450224000,507.0430
1450310400,525.5147
1450396800,521.9400
1450483200,521.0237
1450569600,508.7178
1450656000,503.4873
1450742400,532.5519
1450828800,515.6242
1450915200,510.9724
1451001600,513.0784
1451088000,503.1197
1451174400,513.1455
1451260800,519.2876
1451347200,507.0365
1451433600,505.9181
1451520000,511.0014
1451606400,498.5749
1451692800,492.1201
1451779200,509.4547
1451865600,508.1827
1451952000,513.2618
1452038400,513.8092
1452124800,490.9855
1452211200,516.4913
1452297600,514.4362
1452384000,510.7642
1452470400,541.9062
1452556800,522.5879
1452643200,508.8842
1452729600,532.0852
1452816000,550.7681
1452902400,557.6853
1452988800,548.1829
1453075200,575.3153
1453161600,572.2182
1453248000,572.1047
1453334400,573.7090
1453420800,597.3168
1453507200,596.8191
1453593600,628.6510
1453680000,605.5737
1453766400,658.7338
1453852800,647.7358
1453939200,624.3007
1454025600,639.9955
1454112000,647.0259
1454198400,615.8746
1454284800,654.1278
1454371200,630.3772
1454457600,672.6015
1454544000,670.9910
1454630400,670.5626
1454716800,647.0863
1454803200,670.8703
1454889600,700.3927
1454976000,674.4033
1455062400,686.6895
1455148800,715.5490
1455235200,689.2240
1455321600,728.3101
1455408000,744.6017
1455494400,760.8675
1455580800,758.1305
1455667200,737.5344
1455753600,723.4539
1455840000,758.4649
1455926400,772.5410
1456012800,776.9570
1456099200,818.0979
1456185600,822.7791
1456272000,822.5628
1456358400,833.5308
1456444800,851.8002
1456531200,871.6768
1456617600,889.7172
1456704000,868.4570
1456790400,887.5800
1456876800,915.7752
1456963200,945.4459
1457049600,970.9779
1457136000,1022.7687
1457222400,1030.5122
1457308800,1037.0411
1457395200,1054.0514
1457481600,1074.1375
1457568000,1131.0236
1457654400,1135.2724
1457740800,1189.2959
1457827200,1270.7701
1457913600,1231.9938
1458000000,1259.5857
1458086400,1285.0031
1458172800,1325.0584
1458259200,1327.0590
1458345600,1376.7015
1458432000,1413.2109
1458518400,1392.9337
1458604800,1431.5834
1458691200,1354.1250
1458777600,1465.4863
1458864000,1533.2559
1458950400,1580.9776
1459036800,1607.1295
1459123200,1572.9770
1459209600,1640.0171
1459296000,1661.3373
1459382400,1740.8734
1459468800,1752.2564
1459555200,1690.6343
1459641600,1772.8640
1459728000,1851.6657
1459814400,1865.4800
1459900800,1844.5670
1459987200,1769.2094
1460073600,1920.6299
1460160000,1931.9635
1460246400,1988.8526
1460332800,1941.1691
1460419200,1905.1962
1460505600,1982.2295
1460592000,2010.6356
1460678400,2060.9441
1460764800,2114.0102
1460851200,2049.9112
1460937600,2171.2487
1461024000,2175.4428
1461110400,2203.5227
1461196800,2236.3551
1461283200,2164.6218
1461369600,2253.0424
1461456000,2222.1600
1461542400,2334.1663
1461628800,2275.5506
1461715200,2274.0961
1461801600,2332.6090
1461888000,2381.1960
1461974400,2464.3749
1462060800,2483.9739
1462147200,2366.3607
1462233600,2514.4874
1462320000,2466.9919
1462406400,2469.4398
1462492800,2487.3635
1462579200,2479.4817
1462665600,2524.4188
1462752000,2527.5545
1462838400,2611.3974
1462924800,2494.9291
1463011200,2570.3669
1463097600,2740.3505
1463184000,2678.8075
1463270400,2703.4159
1463356800,2700.3155
1463443200,2695.5977
1463529600,2776.5532
1463616000,2874.0021
1463702400,2921.1910
1463788800,2953.0599
1463875200,2939.4714
1463961600,2945.5758
1464048000,2979.1646
1464134400,2991.9856
1464220800,3081.4600
1464307200,3061.2168
1464393600,3125.7879
1464480000,3190.3497
1464566400,3155.4620
1464652800,3143.7122
1464739200,3063.3100
1464825600,3147.8944
1464912000,3308.6930
1464998400,3298.5600
1465084800,3255.0754
1465171200,3351.4061
1465257600,3360.3335
1465344000,3370.3852
1465430400,3545.2821
1465516800,3343.8621
1465603200,3473.5992
1465689600,3454.4361
1465776000,3595.9303
1465862400,3640.3548
1465948800,3635.0092
1466035200,3607.3920
1466121600,3500.2236
1466208000,3366.6746
1466294400,3728.4821
1466380800,3698.1504
1466467200,3631.4180
1466553600,3789.5576
1466640000,3855.5441
1466726400,3872.1134
1466812800,3858.2335
1466899200,3953.8207
1466985600,4028.7283
1467072000,4098.3325
1467158400,3987.5764
1467244800,3985.2830
1467331200,4079.6463
1467417600,4128.3988
1467504000,4218.2585
1467590400,4220.1757
1467676800,4207.4557
1467763200,4197.2067
1467849600,4204.9805
1467936000,4178.4236
1468022400,4178.8499
1468108800,4246.1162
1468195200,4316.6790
1468281600,4341.3838
1468368000,4376.3964
1468454400,4336.1406
1468540800,4244.7849
1468627200,4308.5953
1468713600,4336.7179
1468800000,4437.5176
1468886400,4369.9745
1468972800,4277.1166
1469059200,4437.1791
1469145600,4291.8557
1469232000,4449.4236
1469318400,4372.8166
1469404800,4225.5390
1469491200,4064.8940
1469577600,3791.4432
1469664000,3974.6171
1469750400,3869.0261
1469836800,3833.0540
1469923200,3859.1788
1470009600,3811.4589
1470096000,3509.0712
1470182400,3425.8341
1470268800,3713.5399
1470355200,3788.6608
1470441600,3712.8702
1470528000,3823.9977
1470614400,3890.3127
1470700800,4080.0038
1470787200,4188.2693
1470873600,4270.9885
1470960000,4237.0475
1471046400,4228.4036
1471132800,4225.0655
1471219200,4251.9922
1471305600,4385.5314
1471392000,4329.8290
1471478400,4368.1660
1471564800,4409.8260
1471651200,4516.0321
1471737600,4513.7179
1471824000,4601.7622
1471910400,4631.2453
1471996800,4650.6361
1472083200,4815.0103
1472169600,4932.0395
1472256000,4919.3846
1472342400,4865.2902
1472428800,4814.9702
1472515200,4812.1623
1472601600,4912.9748
1472688000,4966.2194
1472774400,5019.0583
1472860800,4789.3796
1472947200,4635.7113
1473033600,4827.2541
1473120000,4792.9349
1473206400,4926.6069
1473292800,4824.1998
1473379200,4852.4709
1473465600,4908.3645
1473552000,5077.4945
1473638400,5053.5361
1473724800,5041.1066
1473811200,5182.9774
1473897600,5178.7626
1473984000,5166.6579
1474070400,5341.3299
1474156800,4904.1278
1474243200,4750.3780
1474329600,5422.6074
1474416000,5525.5828
1474502400,5071.3503
1474588800,5305.6755
1474675200,5103.0049
1474761600,5555.4792
1474848000,5200.9835
1474934400,5120.3410
1475020800,5846.2348
1475107200,6022.4118
1475193600,5880.2036
1475280000,5152.6442
1475366400,5483.6261
1475452800,5953.6984
1475539200,6202.7305
1475625600,5577.4987
1475712000,5922.4732
1475798400,4970.4163
1475884800,5604.5061
1475971200,6061.2059
1476057600,6191.8909
1476144000,6396.5054
1476230400,5894.3176
1476316800,5992.5502
1476403200,6610.6347
1476489600,6775.8615
1476576000,6765.6017
1476662400,6470.6153
1476748800,6728.4087
1476835200,6385.8647
1476921600,6900.1594
1477008000,7307.9620
1477094400,7382.1642
1477180800,7219.1314
1477267200,7277.3711
1477353600,7459.7244
1477440000,7503.7485
1477526400,7438.5065
1477612800,7120.6124
1477699200,5695.7524
1477785600,5454.2590
1477872000,5869.6806
1477958400,5051.2126
1478044800,4531.1125
1478131200,4313.7141
1478217600,3971.1034
1478304000,3751.7897
1478390400,3688.7432
1478476800,4362.9653
1478563200,4893.0046
1478649600,4786.7210
1478736000,4399.0135
1478822400,4285.9637
1478908800,4355.3253
1478995200,4718.0689
1479081600,4872.7435
1479168000,4926.4165
1479254400,4858.6238
1479340800,4660.1084
1479427200,4933.6367
1479513600,5252.2465
1479600000,5747.4276
1479686400,6067.3139
1479772800,5664.3154
1479859200,5299.0298
1479945600,5416.4349
1480032000,5623.5357
1480118400,5881.8116
1480204800,5584.1280
1480291200,5765.2583
1480377600,5881.2257
1480464000,5904.5764
1480550400,5991.9926
1480636800,6073.4179
1480723200,6099.6118
1480809600,5331.2802
1480896000,5198.7468
1480982400,5148.7110
1481068800,5264.3617
1481155200,5523.1193
1481241600,5658.9104
1481328000,5798.2850
1481414400,5946.0499
1481500800,5719.9028
1481587200,5874.6650
1481673600,5861.5044
1481760000,5827.1006
1481846400,6031.5534
1481932800,6102.0636
1482019200,6284.0681
1482105600,6324.8460
1482192000,6478.8654
1482278400,6449.9952
1482364800,6219.3619
1482451200,5797.7449
1482537600,5435.8074
1482624000,5672.4506
1482710400,5906.7133
1482796800,5725.5243
1482883200,5703.5980
1482969600,5621.4968
1483056000,5670.0348
1483142400,5739.8584
1483228800,5746.3882
1483315200,5772.7032
1483401600,5701.1528
1483488000,6330.7660
1483574400,6451.8286
1483660800,6519.8016
1483747200,6730.0143
1483833600,6777.3147
1483920000,7001.3724
1484006400,6997.2239
1484092800,7054.4628
1484179200,7142.7291
1484265600,7277.2919
1484352000,7334.4015
1484438400,7443.4979
1484524800,7416.8136
1484611200,7325.2279
1484697600,7318.3297
1484784000,7751.0819
1484870400,7527.1882
1484956800,7733.7168
1485043200,7754.1077
1485129600,7918.1929
1485216000,7831.2888
1485302400,7811.0208
1485388800,7995.4413
1485475200,7965.2252
1485561600,7948.4087
1485648000,7806.1890
1485734400,8008.7446
1485820800,8035.4474
1485907200,7882.0490
1485993600,8117.6108
1486080000,7901.9704
1486166400,8085.6263
1486252800,8480.8345
1486339200,8517.0390
1486425600,8437.3906
1486512000,8613.5409
1486598400,8630.2683
1486684800,8851.2981
1486771200,8899.5970
1486857600,9024.3553
1486944000,9091.8695
1487030400,9220.0798
1487116800,9298.3920
1487203200,9286.9502
1487289600,9441.9350
1487376000,9563.2843
1487462400,9739.2103
1487548800,9701.1651
1487635200,10010.5654
1487721600,9878.5100
1487808000,9956.9834
1487894400,9921.6984
1487980800,10123.8800
1488067200,10602.6615
1488153600,10625.2740
1488240000,11119.9788
1488326400,10718.1257
1488412800,10915.3639
1488499200,11419.5855
1488585600,11171.4309
1488672000,11701.7413
1488758400,11736.4413
1488844800,11651.4652
1488931200,12138.6545
1489017600,12105.6647
1489104000,12144.0613
1489190400,12381.3095
1489276800,12404.6584
1489363200,12817.8346
1489449600,12624.5995
1489536000,13008.7100
1489622400,13093.3706
1489708800,13708.6332
1489795200,13956.1955
1489881600,13381.2912
1489968000,14240.8505
1490054400,14004.9233
1490140800,14303.7526
1490227200,14696.6462
1490313600,14717.1530
1490400000,14850.0107
1490486400,15592.2110
1490572800,16234.1177
1490659200,15956.6330
1490745600,16444.6814
1490832000,16508.1931
1490918400,16923.4135
1491004800,16684.6609
1491091200,16718.5386
1491177600,15983.0117
1491264000,16872.1310
1491350400,17294.0660
1491436800,17238.0630
1491523200,17541.6491
1491609600,17605.5606
1491696000,17278.0448
1491782400,17285.4863
1491868800,17900.8160
1491955200,17672.1498
1492041600,17325.6847
1492128000,18877.3819
1492214400,18356.8933
1492300800,18623.6556
1492387200,18986.8175
1492473600,19532.6738
1492560000,19426.3047
1492646400,19598.4726
1492732800,20064.6867
1492819200,20304.9606
1492905600,20695.5064
1492992000,19854.8535
1493078400,20759.4397
1493164800,20518.0576
1493251200,20819.5764
1493337600,22094.2863
1493424000,22674.7072
1493510400,22071.8930
1493596800,22307.6652
1493683200,22218.5493
1493769600,22633.4701
1493856000,22403.1399
